Molecule,Parsed,Link,Result Type
1-2-PROPANEDIOL_DIACETATE,"1,2 PROPANEDIOL DIACETATE",https://pubchem.ncbi.nlm.nih.gov/compound/12198,RELEVANT
1-HEXADECANOL,1 HEXADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/2682,RELEVANT
1-OCTADECANOL,1 OCTADECANOL,https://pubchem.ncbi.nlm.nih.gov/compound/8221,RELEVANT
2-3-(2-IODOPROPYLIDENEDIOXY)PROPANOL,"2,3-(2 IODOPROPYLIDENEDIOXY)PROPANOL",N/A,Not Found
2-OXOGLUTARIC_ACID,2 OXOGLUTARIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/51,FEATURED
2-PHENOXYETHANOL,2 PHENOXYETHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/17972278,FEATURED
2-PROPANOL,2 PROPANOL,https://pubchem.ncbi.nlm.nih.gov/compound/3776,FEATURED
4-AMINOBUTYRIC_ACID,4 AMINOBUTYRIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/119,FEATURED
7-KETO_DEHYDRANDROSTERONE,7 KETO DEHYDRANDROSTERONE,N/A,Not Found
7-OXO-DEHYDROEPIANDROSTERONE,7 OXO-DEHYDROEPIANDROSTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/193313,RELEVANT
8-QUINOLINOL,8 QUINOLINOL,https://pubchem.ncbi.nlm.nih.gov/compound/1923,FEATURED
ABACAVIR,ABACAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/441300,FEATURED
ABALOPARATIDE,ABALOPARATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Abaloparatide,FEATURED
ABARELIX,ABARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16131215,FEATURED
ABATACEPT,ABATACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Abatacept,FEATURED
ABCIXIMAB,ABCIXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Abciximab,FEATURED
ABEMACICLIB,ABEMACICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/46220502,FEATURED
ABIRATERONE_ACETATE,ABIRATERONE ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/9821849,FEATURED
ABRUS_PRECATORIUS,ABRUS PRECATORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/482044096,RELEVANT
ABSORBABLE_GELATIN/COLLAGEN_SPONGE,ABSORBABLE GELATIN/COLLAGEN SPONGE,https://pubmed.ncbi.nlm.nih.gov/24377182,RELEVANT
ACACIA_CATECHU,ACACIA CATECHU,https://pubchem.ncbi.nlm.nih.gov/substance/482039925,RELEVANT
ACACIA_SENEGAL,ACACIA SENEGAL,https://pubchem.ncbi.nlm.nih.gov/substance/482044117,RELEVANT
ACALABRUTINIB,ACALABRUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/71226662,FEATURED
ACAMPROSATE,ACAMPROSATE,https://pubchem.ncbi.nlm.nih.gov/compound/71158,FEATURED
ACARBOSE,ACARBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/41774,FEATURED
ACEBUTOLOL,ACEBUTOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/1978,FEATURED
ACEMANNAN,ACEMANNAN,https://pubchem.ncbi.nlm.nih.gov/compound/72041,FEATURED
ACEPROMAZINE,ACEPROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6077,FEATURED
ACESULFAME,ACESULFAME,https://pubchem.ncbi.nlm.nih.gov/compound/36573,FEATURED
ACETAZOLAMIDE,ACETAZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1986,FEATURED
ACETIC_ACID,ACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/176,FEATURED
ACETOHEXAMIDE,ACETOHEXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1989,FEATURED
ACETOHYDROXAMIC_ACID,ACETOHYDROXAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1990,FEATURED
ACETONE,ACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/180,FEATURED
ACETONE_(KETONE)_TESTS,ACETONE (KETONE) TESTS,https://pubmed.ncbi.nlm.nih.gov/33027776,RELEVANT
ACETYL-L-CARNITINE,ACETYL-L-CARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/7045767,FEATURED
ACETYLCHOLINE,ACETYLCHOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/187,FEATURED
ACETYLCYSTEINE,ACETYLCYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/12035,FEATURED
ACETYLSALICYLIC_ACID,ACETYLSALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2244,FEATURED
ACETYLSULFAFURAZOLE,ACETYLSULFAFURAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/6662,FEATURED
ACHILLEA_MILLEFOLIUM,ACHILLEA MILLEFOLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Achillea%20millefolium,FEATURED
ACICLOVIR,ACICLOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/135398513,FEATURED
ACITRETIN,ACITRETIN,N/A,Not Found
ACLIDINIUM_BROMIDE,ACLIDINIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/11519741,FEATURED
ACONITUM_NAPELLUS,ACONITUM NAPELLUS,https://pubchem.ncbi.nlm.nih.gov/compound/Aconitum%20Napellus,FEATURED
ACRIVASTINE,ACRIVASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/5284514,FEATURED
ADALIMUMAB,ADALIMUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Adalimumab,FEATURED
ADAPALENE,ADAPALENE,https://pubchem.ncbi.nlm.nih.gov/compound/60164,FEATURED
ADEFOVIR_DIPIVOXIL,ADEFOVIR DIPIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/60871,FEATURED
ADEMETIONINE,ADEMETIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/34755,FEATURED
ADENOSINE,ADENOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/60961,FEATURED
ADENOSINE_TRIPHOSPHATE,ADENOSINE TRIPHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/5957,FEATURED
ADIPIODONE,ADIPIODONE,https://pubchem.ncbi.nlm.nih.gov/compound/3739,FEATURED
ADRENAL_CORTEX,ADRENAL CORTEX,https://pubchem.ncbi.nlm.nih.gov/substance/482039705,RELEVANT
AESCULUS_HIPPOCASTANUM,AESCULUS HIPPOCASTANUM,https://pubchem.ncbi.nlm.nih.gov/substance/483924302,RELEVANT
AFATINIB,AFATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/10184653,FEATURED
AFLIBERCEPT,AFLIBERCEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Aflibercept,FEATURED
AGALSIDASE_BETA,AGALSIDASE BETA,https://pubchem.ncbi.nlm.nih.gov/compound/Agalsidase%20Beta,FEATURED
AGARICUS_CAMPESTRIS,AGARICUS CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/substance/482032839,RELEVANT
ALANINE,ALANINE,https://pubchem.ncbi.nlm.nih.gov/compound/5950,FEATURED
ALATROFLOXACIN,ALATROFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/3086677,FEATURED
ALBENDAZOLE,ALBENDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2082,FEATURED
ALBIGLUTIDE,ALBIGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Albiglutide,FEATURED
ALBUMIN,ALBUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/36314,RELEVANT
ALBUTREPENONACOG_ALFA,ALBUTREPENONACOG ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Albutrepenonacog%20Alfa,FEATURED
ALCAFTADINE,ALCAFTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/19371515,FEATURED
ALCLOMETASONE,ALCLOMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311000,FEATURED
ALDESLEUKIN,ALDESLEUKIN,https://pubchem.ncbi.nlm.nih.gov/compound/Aldesleukin,FEATURED
ALDIOXA,ALDIOXA,https://pubchem.ncbi.nlm.nih.gov/compound/16683101,FEATURED
ALECTINIB,ALECTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/49806720,FEATURED
ALEFACEPT,ALEFACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Alefacept,FEATURED
ALEMTUZUMAB,ALEMTUZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alemtuzumab,FEATURED
ALENDRONIC_ACID,ALENDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2088,FEATURED
ALFENTANIL,ALFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/51263,FEATURED
ALFUZOSIN,ALFUZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/2092,FEATURED
ALGINIC_ACID,ALGINIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/Alginic%20Acid,FEATURED
ALGLUCERASE,ALGLUCERASE,https://pubchem.ncbi.nlm.nih.gov/substance/472422781,RELEVANT
ALGLUCOSIDASE_ALFA,ALGLUCOSIDASE ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Alglucosidase%20Alfa,FEATURED
ALIROCUMAB,ALIROCUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Alirocumab,FEATURED
ALISKIREN,ALISKIREN,https://pubchem.ncbi.nlm.nih.gov/compound/5493444,FEATURED
ALITRETINOIN,ALITRETINOIN,https://pubchem.ncbi.nlm.nih.gov/compound/449171,FEATURED
ALKYL_SULFONATES,ALKYL SULFONATES,https://pubchem.ncbi.nlm.nih.gov/compound/2478,RELEVANT
ALLANTOIN,ALLANTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/204,FEATURED
ALLIUM_CEPA,ALLIUM CEPA,https://pubchem.ncbi.nlm.nih.gov/substance/482025683,RELEVANT
ALLIUM_SATIVUM,ALLIUM SATIVUM,https://pubchem.ncbi.nlm.nih.gov/substance/103049314,RELEVANT
ALLOPURINOL,ALLOPURINOL,https://pubchem.ncbi.nlm.nih.gov/compound/135401907,FEATURED
ALLYL_ISOTHIOCYANATE,ALLYL ISOTHIOCYANATE,https://pubchem.ncbi.nlm.nih.gov/compound/5971,FEATURED
ALMOTRIPTAN,ALMOTRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/123606,FEATURED
ALOE_AFRICANA,ALOE AFRICANA,https://pubchem.ncbi.nlm.nih.gov/compound/Aloe%20africana%20whole,FEATURED
ALOE_BARBADENSIS,ALOE BARBADENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/12305761,RELEVANT
ALOGLIPTIN,ALOGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11450633,FEATURED
ALOSETRON,ALOSETRON,https://pubchem.ncbi.nlm.nih.gov/compound/2099,FEATURED
ALPHA-GALACTOSIDASE,ALPHA-GALACTOSIDASE,https://pubchem.ncbi.nlm.nih.gov/compound/82000,RELEVANT
ALPHA_AMYLASE,ALPHA AMYLASE,https://pubchem.ncbi.nlm.nih.gov/compound/192826,RELEVANT
ALPHA_CAROTENE,ALPHA CAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/6419725,FEATURED
ALPINA_GALANGA,ALPINA GALANGA,https://pubmed.ncbi.nlm.nih.gov/13493119,RELEVANT
ALPINIA_OFFICINARUM,ALPINIA OFFICINARUM,https://pubchem.ncbi.nlm.nih.gov/substance/482043081,RELEVANT
ALPRAZOLAM,ALPRAZOLAM,https://pubchem.ncbi.nlm.nih.gov/compound/2118,FEATURED
ALPROSTADIL,ALPROSTADIL,https://pubchem.ncbi.nlm.nih.gov/compound/5280723,FEATURED
ALTEPLASE,ALTEPLASE,https://pubchem.ncbi.nlm.nih.gov/compound/Alteplase,FEATURED
