molecule,crp,intprd,cas,matched_drugid,match_type_ncas,different_compounds
1-HEXADECANOL#ANTHEMIS_NOBILIS#BUTYROSPERMUM_PARKII#CICLOPIROX#GLYCEROL#HYALURONIC_ACID#SALICYLIC_ACID,MEDIMETRIKS_PHARM,LOPROX CREAM KIT,9004-61-9,"6807, 7103, 13469, 105492",1,0
2-PROPANOL#BENZOYL_PEROXIDE,LAB_UNKNOWN,2-PROP/BENZ   L.U.,94-36-0,78987,1,0
2-PROPANOL#KETOROLAC#POVIDONE-IODINE,TERRAIN_PHARM,KETOROLAC     TEHR,74103-06-3,"3422, 55698",1,0
ACACIA_CATECHU#CHONDROITINSULFURIC_ACID#GLUCOSAMINE#HYALURONIC_ACID#SCUTELLARIA,RECKITT_BENCKISER,MOVE FREE ADV PLUS,9004-61-9,"6807, 7103, 13469, 105492",1,0
ACETIC_ACID#CALCIUM#FIBRINOGEN#GLYCINE#SODIUM#TRANEXAMIC_ACID,JOHNSON_&_JOHNSON,CROSSEAL,1197-18-8,51370,1,0
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,56-85-9,"69737, 69738",1,0
ACETYLCYSTEINE#ALLIUM_SATIVUM#ANGELICA_ARCHANGELICA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#FORSYTHIA_SUSPENSA#GLUTAMINE#LONICERA#LYCIUM#LYSINE#MAGNESIUM#MANGANESE#MENTHA_PIPERITA#MORINDA_CITRIFOLIA#PANAX_GINSENG#POTASSIUM#QUERCETIN#RETINOL#RUBUS_FRUTICOSUS#SAMBUCUS_NIGRA#SCHIZONEPETA#SODIUM#VACCINIUM_MACROCARPON#VITAMIN_E#VITEX_AGNUS-CASTUS#ZINC#ZINGIBER_OFFICINALE,IOVATE,GERM MD,616-91-1,95553,1,0
ACETYLCYSTEINE#ANGELICA_POLIMORPHA#ASCORBIC_ACID#ASTRAGALUS#ECHINACEA_PURPUREA#ELEUTHEROCOCCUS_SENTICOSUS#EPIMEDIUM_GRANDIFLORUM#PANAX_GINSENG#STEPHANIA_SINICA#ZINC#ZINGIBER_OFFICINALE,IOVATE,COLD MD,616-91-1,95553,1,0
ACETYLCYSTEINE#ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CARICA_PAPAYA#COBAMAMIDE#COLECALCIFEROL#FOLIC_ACID#INTRINSIC_FACTOR#LECITHIN#LEVOMEFOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PANTETHINE#PHOSPHATIDYLETHANOLAMINE#THIAMINE,CENTURION_LABS,PURALOR CI,616-91-1,95553,1,0
ACETYLCYSTEINE#ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CARICA_PAPAYA#COBAMAMIDE#COLECALCIFEROL#FOLIC_ACID#INTRINSIC_FACTOR#LECITHIN#LEVOMEFOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PANTETHINE#PHOSPHATIDYLETHANOLAMINE#THIAMINE,CENTURION_LABS,PURALOR CI,80433-71-2,16915,1,0
ACETYLCYSTEINE#LEVOMEFOLIC_ACID#MECOBALAMIN#SCHIZOCHYTRIUM,ESTEVE,METAFOLBIC PLUS RF,616-91-1,95553,1,0
ACETYLCYSTEINE#PETASITES_OFFICINALIS#PICRORRHIZA_KURROA#ROSMARINUS_OFFICINALIS#SALIX_ALBA#VINPOCETINE,IOVATE,ALLERGY MD,616-91-1,95553,1,0
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,132-22-9,"66158, 69798, 83624, 91390, 91711",1,0
ACETYLSALICYLIC_ACID#CAFFEINE#CHLORPHENAMINE#PHENYLEPHRINE,BAYER,CORICIDIN D,50-78-2,"15574, 19460, 56276, 64893",1,0
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,103-90-2,"48917, 64433, 68852",1,0
ACETYLSALICYLIC_ACID#CAFFEINE#PARACETAMOL#SALICYLAMIDE,GENTEX_PHARMA,LEVACET,50-78-2,"15574, 19460, 56276, 64893",1,0
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,50-78-2,"15574, 19460, 56276, 64893",1,0
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,58-32-2,15574,1,0
ACETYLSALICYLIC_ACID#DIPYRIDAMOLE,BOEHRINGER_INGEL,ASASANTIN,"50-78-2, 58-32-2",15574,2,1
ACETYLSALICYLIC_ACID#PHYTOSTEROLS_(UNSPECIFIED),BAYER,BAYER HEART ADVANT,50-78-2,"15574, 19460, 56276, 64893",1,0
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
ACICLOVIR#LIDOCAINE,ALLEGIS_PHARM,LIDOVIR,59277-89-3,"44258, 53498, 87715, 87725",1,0
ALOE_BARBADENSIS#BENZOYL_PEROXIDE,MISSION,BP MISS,94-36-0,78987,1,0
ALOE_BARBADENSIS#BENZOYL_PEROXIDE#HAMAMELIS_VIRGINIANA#PANTHENOL#RETINOL,UNIV_MEDICAL_PROD,ACNEFREE SEVERE,94-36-0,78987,1,0
ALOE_BARBADENSIS#BENZOYL_PEROXIDE#SALICYLIC_ACID,WALTMAN_PHARMCEUTI,ZAPZYT ACNE PACK,94-36-0,78987,1,0
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
ALOE_BARBADENSIS#COLLAGEN#HYALURONIC_ACID#LIDOCAINE,MPM_MEDICAL,REGENECARE HA,9004-61-9,"6807, 7103, 13469, 105492",1,0
ALOE_BARBADENSIS#HYALURONIC_ACID#SODIUM,NEILMED_PHARM,NASOGEL NEIL,9004-61-9,"6807, 7103, 13469, 105492",1,0
ALOE_BARBADENSIS#HYDROCORTISONE#MENTHOL,WRASER_PHARM,NUZON,50-23-7,48942,1,0
ALOE_BARBADENSIS#HYDROCORTISONE#PRAMOCAINE,NOVUM_PHARMA_LLC,NOVACORT,50-23-7,48942,1,0
ALOE_BARBADENSIS#LIDOCAINE,LAB_UNKNOWN,LIDOCAI/ALOE  L.U.,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
ALOE_BARBADENSIS#LIDOCAINE#VITAMIN_E,MPM_MEDICAL,REGENECARE,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,111025-46-8,"48279, 55177, 59795",1,0
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,850649-61-5,59795,1,0
ALOGLIPTIN#PIOGLITAZONE,TAKEDA,LIOVEL COMBINATION,"111025-46-8, 850649-61-5",59795,2,1
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#HONEY#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX PHN PAK,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
ALTHAEA_OFFICINALIS#ARGANIA_SPINOSA#BRASSICA_CAMPESTRIS#BUTYROSPERMUM_PARKII#COCOS_NUCIFERA#DIMETICONE#HELIANTHUS_ANNUUS#LIDOCAINE#LINUM_USITATISSIMUM#PRUNUS_AMYGDALUS_(DULCIS)#ROSMARINUS_OFFICINALIS,PURETEK,DERMACINRX ZRM PAK,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
ALUMINIUM#DIPHENHYDRAMINE#LIDOCAINE#MAGNESIUM#SIMETICONE,CUTIS_PHARMA,FIRST-MOUTHWASH,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
AMIODARONE#GLUCOSE,PHARMEDIUM,AMIODARO/GLUC PRMU,1951-25-3,57749,1,0
AMOXICILLIN#CLARITHROMYCIN#LANSOPRAZOLE,TAKEDA,PREVPAC,26787-78-0,"44279, 49017",1,0
AMOXICILLIN#CLARITHROMYCIN#LANSOPRAZOLE,TAKEDA,PREVPAC,61336-70-7,44279,1,0
AMOXICILLIN#CLARITHROMYCIN#LANSOPRAZOLE,TAKEDA,PREVPAC,"26787-78-0, 61336-70-7",44279,2,0
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,26787-78-0,"44279, 49017",1,0
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,61336-70-7,44279,1,0
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,73590-58-6,34063,1,0
AMOXICILLIN#CLARITHROMYCIN#OMEPRAZOLE,CUMBERLAND_PHARMAC,OMECLAMOX-PAK,"26787-78-0, 61336-70-7",44279,2,0
ARGATROBAN,NOVARTIS,ARGATROBAN    NOVT,74863-84-6,"2565, 73449",1,0
ARTICAINE#EPINEPHRINE,PIERREL,ORABLOC,51-43-4,"46891, 98621",1,0
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,65-23-6,"85192, 109953",1,0
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#BETACAROTENE#BIOTIN#CARBONYL_IRON#COLECALCIFEROL#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RIBOFLAVIN#SELENOMETHIONINE#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,JUBILANT_LIFE_SCIE,CORVITA,83-88-5,73506,1,0
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COBALT#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#INTRINSIC_FACTOR#MOLYBDENUM#VITAMIN_E,PRONOVA,HEMAX PRNO,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#METHYLFOLATE,AVION_PHARMA,FERIVAFA,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#VITAMIN_E,JUBILANT_LIFE_SCIE,TL-HEM,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,65-23-6,"85192, 109953",1,0
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#BIOTIN#CARBONYL_IRON#COPPER#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#NICOTINAMIDE#PANTOTHENIC_ACID#PICOLINIC_ACID#PYRIDOXINE#RETINOL#RIBOFLAVIN#SELENIUM#THIAMINE#THIOCTIC_ACID#VITAMIN_E#XANTOFYL#ZINC,VERTICAL_PHARM,CORVITE,83-88-5,73506,1,0
ASCORBIC_ACID#CALCIUM#CYANOCOBALAMIN#FOLIC_ACID#IRON_FERROUS#SUCCINIC_ACID,AMAG_PHARM,REPLIVA 21/7,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CALCIUM#CYANOCOBALAMIN#IRON_FERROUS,CENTRIX_PHARMACEUT,MAXARON FORTE,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#SUCCINIC_ACID#ZINC,AVION_PHARMA,FERIVA 21-7,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CALCIUM_LEVOFOLINATE#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#SUCCINIC_ACID#ZINC,AVION_PHARMA,FERIVA 21-7,80433-71-2,16915,1,0
ASCORBIC_ACID#CARBONYL_IRON#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID,MISSION,FERRALET 90,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CARBONYL_IRON#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS,METHOD_PHARMA,FOCALGIN DSS,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#COLECALCIFEROL#CYANOCOBALAMIN#FOLIC_ACID#IRON_FERROUS#METHYLFOLATE#PYRIDOXINE,CARWIN_ASSOCIATES,NUFERA,65-23-6,"85192, 109953",1,0
ASCORBIC_ACID#COLECALCIFEROL#CYANOCOBALAMIN#FOLIC_ACID#IRON_FERROUS#METHYLFOLATE#PYRIDOXINE,CARWIN_ASSOCIATES,NUFERA,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#COPPER#FOLIC_ACID#MAGNESIUM#NICOTINAMIDE#PYRIDOXINE#THIOCTIC_ACID#ZINC,MEDIMETRIKS_PHARM,NICADAN,65-23-6,"85192, 109953",1,0
ASCORBIC_ACID#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS,VIRTUS_PHARMA,NATALVIRT,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#MAGNESIUM#ZINC,PRONOVA,MAXFE,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CYANOCOBALAMIN#DOCUSATE#FOLIC_ACID#IRON_FERROUS#SUCCINIC_ACID#THREONINE#ZINC,AMAG_PHARM,NIFEREX GOLD,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#CYANOCOBALAMIN#FOLIC_ACID#INTRINSIC_FACTOR#IRON_DEXTRAN#IRON_FERROUS#LEVOMEFOLIC_ACID#SUCCINIC_ACID#ZINC,AVION_PHARMA,NIFEREX GOLD,68-19-9,"98637, 98648",1,0
ASCORBIC_ACID#DEXTROMETHORPHAN#DOXYLAMINE#PARACETAMOL,PROCTER_&_GAMBLE,DAYQUIL PLUS VIT C,103-90-2,"48917, 64433, 68852",1,0
ASCORBIC_ACID#DEXTROMETHORPHAN#DOXYLAMINE#PARACETAMOL,PROCTER_&_GAMBLE,DAYQUIL PLUS VIT C,125-71-3,6018,1,0
ASCORBIC_ACID#DEXTROMETHORPHAN#DOXYLAMINE#PARACETAMOL,PROCTER_&_GAMBLE,DAYQUIL PLUS VIT C,469-21-6,"85192, 109953",1,0
ATROPA_BELLADONNA#BISMUTH#EPHEDRINE#HYDROCORTISONE,ACINO_PRODUCTS,RECTACORT,50-23-7,48942,1,0
ATROPA_BELLADONNA#CHLORPHENAMINE#PSEUDOEPHEDRINE,RESPA_PHARMACEUTIC,RESPA A.R.,132-22-9,"66158, 69798, 83624, 91390, 91711",1,0
ATROPA_BELLADONNA#CHLORPHENAMINE#PSEUDOEPHEDRINE,RESPA_PHARMACEUTIC,RESPA A.R.,90-82-4,"13110, 91390, 91396",1,0
ATROPA_BELLADONNA#CHLORPHENAMINE#PSEUDOEPHEDRINE,RESPA_PHARMACEUTIC,RESPA A.R.,"132-22-9, 90-82-4",91390,2,1
ATROPINE#BENZOIC_ACID#HYOSCYAMINE#METHENAMINE#METHYLENE_BLUE,PERNIX,MHP-A,61-73-4,"74759, 81075",1,0
ATROPINE#CHLORPHENAMINE#HYOSCYAMINE#PHENYLEPHRINE#SCOPOLAMINE,ESTEVE,HISTACOL LA,132-22-9,"66158, 69798, 83624, 91390, 91711",1,0
ATROPINE#EPHEDRINE#PARACETAMOL,DOVER_PHARM,DYSPEL,103-90-2,"48917, 64433, 68852",1,0
AZELAIC_ACID#CERAMIDE#HYALURONIC_ACID,BAYER,FINACEA PLUS,9004-61-9,"6807, 7103, 13469, 105492",1,0
AZELAIC_ACID#COPPER#CURCUMIN#DOXYCYCLINE#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZELDOXY,24390-14-5,"10198, 46927, 74224, 92069",1,0
AZELAIC_ACID#COPPER#CURCUMIN#DOXYCYCLINE#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZELDOXY,564-25-0,"10198, 14440, 46927, 48140, 92069, 96277",1,0
AZELAIC_ACID#COPPER#CURCUMIN#DOXYCYCLINE#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZELDOXY,65-23-6,"85192, 109953",1,0
AZELAIC_ACID#COPPER#CURCUMIN#DOXYCYCLINE#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZELDOXY,"24390-14-5, 564-25-0",10198,2,0
AZELAIC_ACID#COPPER#CURCUMIN#DOXYCYCLINE#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZELDOXY,"24390-14-5, 564-25-0",46927,2,0
AZELAIC_ACID#COPPER#CURCUMIN#DOXYCYCLINE#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZELDOXY,"24390-14-5, 564-25-0",92069,2,0
AZELAIC_ACID#COPPER#CURCUMIN#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#QUERCETIN#ZINC,ELORAC,NICAZEL FORTE,65-23-6,"85192, 109953",1,0
AZELAIC_ACID#COPPER#FOLIC_ACID#NICOTINAMIDE#PYRIDOXINE#ZINC,ELORAC,NICAZEL,65-23-6,"85192, 109953",1,0
B>-SITOSTEROL#BRASSICA_CAMPESTRIS#CALCIUM#CAMPESTEROL#COLECALCIFEROL#CUCURBITA_PEPO#CYANOCOBALAMIN#FOLIC_ACID#LYCOPENE#MAGNESIUM#PHYTOSTEROLS_(UNSPECIFIED)#PYGEUM_AFRICANUM#SELENIUM#SERENOA_REPENS#STIGMASTEROL#URTICA_DIOICA#VITAMIN_E#ZINC,DSE_HEALTHCARE,URINOZINC PLUS,68-19-9,"98637, 98648",1,0
BENZOCAINE#DEXTROMETHORPHAN,PROCTER_&_GAMBLE,VICKS SILENCERS,125-71-3,6018,1,0
BENZOCAINE#DEXTROMETHORPHAN#MENTHOL,PRESTIGE_BRANDS,CHLORASE.SO.TH.COU,125-71-3,6018,1,0
BENZOCAINE#LIDOCAINE,LAB_UNKNOWN,BENZOC/LIDOC  L.U.,137-58-6,"12433, 15198, 23015, 44403, 54740, 90455",1,0
BENZOIC_ACID#HYOSCYAMINE#METHENAMINE#METHYLENE_BLUE#SALICYLIC_ACID,MISSION,HYOPHEN MISS,61-73-4,"74759, 81075",1,0
BENZOIC_ACID#METHENAMINE#METHYLENE_BLUE#SALICYLIC_ACID#SCOPOLAMINE,RIVERS_EDGE,METHYLPHEN,61-73-4,"74759, 81075",1,0
BENZOYL_PEROXIDE#CLINDAMYCIN#HYALURONIC_ACID,VALEANT_PHARMA,BENZACLIN,18323-44-9,"44370, 46999, 62738",1,0
BENZOYL_PEROXIDE#CLINDAMYCIN#HYALURONIC_ACID,VALEANT_PHARMA,BENZACLIN,9004-61-9,"6807, 7103, 13469, 105492",1,0
BENZOYL_PEROXIDE#CLINDAMYCIN#HYALURONIC_ACID,VALEANT_PHARMA,BENZACLIN,94-36-0,78987,1,0
BENZOYL_PEROXIDE#SALICYLIC_ACID,INNOCUTIS,INOVA,94-36-0,78987,1,0
BENZOYL_PEROXIDE#UREA,NOVARTIS,ZODERM,94-36-0,78987,1,0
BENZYL_BENZOATE#BISMUTH#HYDROCORTISONE#PERU_BALSAM#ZINC,LAB_UNKNOWN,HEMORRHOID HC L.U.,50-23-7,48942,1,0
BETAINE#CALCIUM_FOLINATE#COBAMAMIDE#COCARBOXYLASE#DOCONEXENT#FLAVIN-ADENINE_DINUCLEOTIDE#FOLIC_ACID#ICOSAPENT#IRON_FERROUS#LEVOMEFOLIC_ACID#MAGNESIUM#NADIDE#PHOSPHATIDYL_SERINE#PYRIDOXAL_5-PHOSPHATE#ZINC,JAYMAC_PHARMA,ENBRACE HR,10417-94-4,70004,1,0
